ID   | Chars  | Slug                                     | Title Fragment
----------------------------------------------------------------------------------------------------
20   | 3607   | roadmap-ia-productividad-2026            | Roadmap Diktalo 2026: El Futuro de la IA...
19   | 2859   | app-movil-ia-segundo-cerebro             | Diktalo Mobile: Tu Segundo Cerebro de IA...
18   | 2749   | analisis-sentimiento-negociacion-estra   | Análisis de Sentimiento: El Arte de Leer...
17   | 2965   | cumplimiento-soc2-ia-seguridad-datos     | Seguridad SOC 2 en IA: El Manual de Conf...
16   | 2842   | caso-exito-fintech-ia-productividad      | Caso de Éxito: Cómo una Fintech Líder Re...
15   | 2886   | organizacion-conocimiento-ia-empresa-2   | Organización de Conocimiento: El Activo ...
14   | 2790   | etica-ia-voz-privacidad-2026             | Ética y Transparencia: El Pilar de la Co...
13   | 2786   | infraestructura-ia-mision-critica-2026   | Estabilidad Global: Infraestructura de M...
12   | 2876   | hr-ia-seleccion-sin-sesgos               | Talento y Objetividad: Eliminando Sesgos...
11   | 2649   | inmobiliaria-lujo-ia-eficiencia-2026     | Agilidad Inmobiliaria: El Nuevo Estándar...
10   | 2723   | equipos-hibridos-ia-colaboracion-asinc   | Equipos Híbridos 2026: La Era de la Cola...
9    | 2862   | soberania-datos-ia-privacidad-2026       | Soberanía de Datos 2026: El Derecho a la...
8    | 2723   | eficiencia-comercial-ia-ventas-2026      | Eficiencia Comercial: Optimizando el ROI...
7    | 2676   | psicologia-escucha-activa-ia-negocios    | Foco en las Personas: La Psicología de l...
6    | 2975   | hardware-obsoleto-ia-software-first      | Integración Total 2026: Por qué el Hardw...
5    | 2874   | seguridad-datos-ia-corporativa-2026      | Seguridad y Tranquilidad: Blindando la P...
4    | 2811   | inteligencia-comercial-ia-crecimiento-   | Inteligencia Comercial: Transformando el...
3    | 2949   | memoria-institucional-ia-capital-intel   | Memoria Institucional: Eliminando los Si...
2    | 2854   | roi-inteligencia-voz-rentabilidad-2026   | ROI de la Inteligencia Verbal: Impacto D...
1    | 3173   | evolucion-voz-comunicacion-natural       | El Gran Salto de 2026: Por qué el Diálog...
